Woche,dax
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,69
2014-07-13 - 2014-07-19,72
2014-07-20 - 2014-07-26,74
2014-07-27 - 2014-08-02,83
2014-08-03 - 2014-08-09,92
2014-08-10 - 2014-08-16,99
2014-08-17 - 2014-08-23,82
2014-08-24 - 2014-08-30,72
2014-08-31 - 2014-09-06,71
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,86
2014-09-21 - 2014-09-27,83
2014-09-28 - 2014-10-04,76
2014-10-05 - 2014-10-11,90
2014-10-12 - 2014-10-18,100
2014-10-19 - 2014-10-25,81
2014-10-26 - 2014-11-01,73
2014-11-02 - 2014-11-08,69
2014-11-09 - 2014-11-15,69
2014-11-16 - 2014-11-22,70
2014-11-23 - 2014-11-29,76
2014-11-30 - 2014-12-06,92
2014-12-07 - 2014-12-13,83
2014-12-14 - 2014-12-20,86
2014-12-21 - 2014-12-27,71
2014-12-28 - 2015-01-03,70
2015-01-04 - 2015-01-10,77
2015-01-11 - 2015-01-17,95
2015-01-18 - 2015-01-24,98
2015-01-25 - 2015-01-31,97
2015-02-01 - 2015-02-07,83
2015-02-08 - 2015-02-14,88
2015-02-15 - 2015-02-21,87
2015-02-22 - 2015-02-28,84
2015-03-01 - 2015-03-07,84
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,100
2015-03-22 - 2015-03-28,84
2015-03-29 - 2015-04-04,75
2015-04-05 - 2015-04-11,73
2015-04-12 - 2015-04-18,84
2015-04-19 - 2015-04-25,84
2015-04-26 - 2015-05-02,79
2015-05-03 - 2015-05-09,83
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,73
2015-05-31 - 2015-06-06,75
2015-06-07 - 2015-06-13,83
2015-06-14 - 2015-06-20,82
2015-06-21 - 2015-06-27,94
